 |       | CR Mat. Conv. | CR Low m_{#gamma^{*}} | CR HF e | CR HF#mu | CR t#bar{t}W^{+} | CR t#bar{t}W^{-} | CR 1b(+) | CR 1b(-) | SR #geq 4b | SR 3b, #\geq 3l | SR 3b, 2l | SR 2b, #\geq 3l | SR 2b, 2l | 
 | HF#mu | 14.5506 pm 1.09029 | 1.93166 pm 0.12555 | 26.3628 pm 1.31582 | 110.932 pm 6.40312 | 63.1919 pm 2.89365 | 69.4019 pm 3.91167 | 93.102 pm 8.99997 | 95.9389 pm 7.02482 | 0.358485 pm 0.162561 | 0.497644 pm 0.0872271 | 6.21859 pm 0.535643 | 0.559298 pm 0.134436 | 23.6985 pm 3.49761 | 
 | light | 3.50756 pm 0.554172 | 1.48524 pm 0.133627 | 0.989332 pm 0.747627 | 0.404496 pm 0.311688 | 2.72136 pm 0.599502 | 0.947577 pm 0.186989 | 15.1276 pm 2.23997 | 9.55671 pm 0.587067 | 0.31874 pm 0.0286014 | 0.0295356 pm 0.00274548 | 1.96573 pm 0.107974 | 0.797274 pm 0.0244748 | 10.3614 pm 0.837432 | 
 | Other fake | 37.1668 pm 2.31467 | 10.3591 pm 0.75497 | 4.36094 pm 0.911668 | 6.13169 pm 1.88005 | 27.2931 pm 1.14579 | 24.0332 pm 1.78659 | 14.1685 pm 0.949766 | 12.0525 pm 1.29312 | 0.873936 pm 0.235703 | 0.411539 pm 0.0273128 | 2.31651 pm 0.527588 | 1.42332 pm 0.490348 | 19.8774 pm 2.25644 | 
 | singleTop | 4.20235 pm 1.28008 | 0.11764 pm 0.0360985 | 5.0426 pm 1.53766 | 9.89153 pm 3.01097 | 19.9881 pm 6.02362 | 12.7166 pm 3.83684 | 19.4946 pm 5.90266 | 14.0187 pm 4.24788 | 0.357209 pm 0.128772 | 0.270995 pm 0.121406 | 2.03257 pm 0.638009 | 1.57196 pm 0.478919 | 9.143 pm 2.81997 | 
 | Diboson | 9.47547 pm 2.02235 | 0.17197 pm 0.0451542 | 11.3378 pm 1.52407 | 18.524 pm 2.22474 | 11.7996 pm 2.7587 | 8.95284 pm 2.1185 | 88.3621 pm 20.4625 | 60.6632 pm 13.7222 | 0.155789 pm 0.0577342 | 0.124347 pm 0.0459895 | 0.928675 pm 0.351751 | 1.25576 pm 0.432166 | 7.39328 pm 2.46738 | 
 | triboson | 0.0693844 pm 0.00324879 | 0.00321776 pm 0.00100549 | 0.31226 pm 0.0222609 | 0.482794 pm 0.0590894 | 0.0881263 pm 0.0153818 | 0.0817432 pm 0.0146291 | 1.36261 pm 0.0933967 | 1.02413 pm 0.0863852 | 0.000858737 pm 0.000129753 | 0.0120682 pm 0.00600114 | 0.00823348 pm 0.00160805 | 0.0441007 pm 0.00364804 | 0.0800034 pm 0.00937487 | 
 | vh | 1e-06 pm 5.00421e-07 | 1e-06 pm 5.01836e-07 | 0.319934 pm 0.17922 | 0.122836 pm 0.263805 | 3e-06 pm 1.50067e-06 | 0.317431 pm 0.459982 | 0.408116 pm 0.330591 | 0.297684 pm 0.729688 | 2e-06 pm 1.0006e-06 | 2e-06 pm 1.00148e-06 | 4e-06 pm 2.00085e-06 | 3e-06 pm 1.50106e-06 | 4e-06 pm 2.00027e-06 | 
 | t#bar{t}W^{+} | 6.2389 pm 0.180624 | 0.13418 pm 0.0113149 | 4.10283 pm 0.299208 | 8.47579 pm 0.603489 | 97.0929 pm 2.68795 |  0 pm 0 | 40.0796 pm 1.5718 |  0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 
 | t#bar{t}W^{-} | 3.52775 pm 0.0724401 | 0.0905233 pm 0.0122218 | 2.57144 pm 0.204891 | 4.66214 pm 0.345622 |  0 pm 0 | 52.5738 pm 1.58858 |  0 pm 0 | 21.7765 pm 1.0663 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 
 | t#bar{t}Z' | 0.148579 pm 0.00732361 | 0.0106568 pm 0.00115895 | 0.00194307 pm 0.00294201 | 0.00313481 pm 0.00159282 | 0.673291 pm 0.0570342 | 0.713206 pm 0.0764575 | 1.86373 pm 0.207359 | 1.89254 pm 0.209289 | 18.6193 pm 0.819909 | 5.00254 pm 0.299588 | 16.9773 pm 0.783307 | 2.77109 pm 0.228084 | 9.56699 pm 0.702061 | 
 | Total | 309.393 pm 8.85639 | 73.0401 pm 3.88384 | 121.035 pm 4.88385 | 190.613 pm 10.9551 | 369.528 pm 16.5785 | 311.977 pm 14.5607 | 493.551 pm 35.5362 | 432.39 pm 27.3809 | 42.6746 pm 3.65793 | 17.1331 pm 1.44276 | 91.7681 pm 5.72978 | 40.51 pm 3.5666 | 290.328 pm 18.0046 | 
 | data | 309 | 70 | 104 | 176 | 450 | 341 | 540 | 428 | 51 | 14 | 94 | 40 | 405 | 
